Date,gift,id,pooled_group,article_consumed,quantity,X1_unit_weight_grams,index,source,total_weight_grams
23/07/2018,0,1032,0,maondo-with peel,5,429,2,fieldnotes. ,2145
23/07/2018,0,1102,0,palm nuts,10,9,8,"Davies, R. M. (2012). Physical and mechanical properties of palm fruit, kernel and nut. Journal of Agricultural Technology, 8(7), 2147-2156.. ",90
24/07/2018,0,3041,0,orange,1,131,45,USDA with peel. ,131
25/07/2018,0,3077,0,palm nuts,10,9,8,"Davies, R. M. (2012). Physical and mechanical properties of palm fruit, kernel and nut. Journal of Agricultural Technology, 8(7), 2147-2156.. ",90
26/07/2018,0,2513,0,honey,0.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",710
26/07/2018,0,1121,0,ediki-with centre,1,963,55,fieldnotes. ,963
26/07/2018,0,2038,0,fish,1,404,76,fieldnotes. we took the median of all the raw fish in our samples,404
26/07/2018,0,1124,0,honey,1,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",1420
28/07/2018,0,1121,0,mobe,3,1380,1,average from all mobe returned to camp. ,4140
29/07/2018,0,1006,0,honey,1,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",1420
29/07/2018,0,2513,0,maondo-with peel,2,429,2,fieldnotes. ,858
29/07/2018,0,2039,0,banana,5,127,38,"usda, NDB Number:9040, mean of average weight for 4 sizes of bananas 
https://fdc.nal.usda.gov/fdc-app.html#/food-details/173944/measures. ",635
30/07/2018,0,2038,0,honey,1.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",2130
01/08/2018,0,1104,0,mobe,1,1380,1,average from all mobe returned to camp. ,1380
02/08/2018,0,1006,0,palm wine,0.5,1000,10,fieldnotes. We took same weight as water,500
02/08/2018,0,1104,0,mobe,1,1380,1,average from all mobe returned to camp. ,1380
02/08/2018,0,2039,0,banana,5,127,38,"usda, NDB Number:9040, mean of average weight for 4 sizes of bananas 
https://fdc.nal.usda.gov/fdc-app.html#/food-details/173944/measures. ",635
02/08/2018,0,1007,0,mobe,1,500,1,NA. ,500
03/08/2018,0,3040,0,maondo-with peel,3,429,2,fieldnotes. ,1287
04/08/2018,0,1032,0,palm wine,0.5,1000,10,fieldnotes. We took same weight as water,500
04/08/2018,0,1124,0,honey,1,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",1420
04/08/2018,1,2899,0,banana,6,127,38,"usda, NDB Number:9040, mean of average weight for 4 sizes of bananas 
https://fdc.nal.usda.gov/fdc-app.html#/food-details/173944/measures. ",762
04/08/2018,0,3077,0,ediki-with centre,1,250,55,NA. ,250
05/08/2018,0,3040,0,honey,0.25,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",355
05/08/2018,0,1122,0,honey,1,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",1420
05/08/2018,0,1032,0,maondo-with peel,1,429,2,fieldnotes. ,429
05/08/2018,0,1028,0,a large portion of blue duiker smoked,1,2512,64,"fieldnotes. We can use: ""Kingdon 2015 gives a weight per individual between 3.5 and 9kg. We took the mean of 6.25kg."" Then 1/3 of an individual is 2,1kg.",2512
06/08/2018,0,1007,0,fish,0.33,404,76,fieldnotes. we took the median of all the raw fish in our samples,133.32
06/08/2018,0,2544,0,fish,0.33,404,76,fieldnotes. we took the median of all the raw fish in our samples,133.32
06/08/2018,0,3118,0,fish,0.33,404,76,fieldnotes. we took the median of all the raw fish in our samples,133.32
06/08/2018,0,1103,0,blue duiker intestins,1,775,70,estimates as average of 1.3kg of intenstines measured in food returns and 0.25kg reported in food recall. ,775
06/08/2018,0,2030,0,maondo-with peel,1,429,2,fieldnotes. ,429
06/08/2018,0,1103,0,papaya-with peel,1,420,11,fieldnotes. ,420
07/08/2018,0,1124,0,honey,1,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",1420
07/08/2018,0,1028,0,maondo-with peel,1,429,2,fieldnotes. ,429
07/08/2018,0,1028,0,mobe,1,1380,1,average from all mobe returned to camp. ,1380
07/08/2018,0,1115,0,orange,1,131,45,USDA with peel. ,131
09/08/2018,0,2523,0,ediki-with centre,3,963,55,fieldnotes. ,2889
09/08/2018,0,2544,0,ediki-with centre,4,963,55,fieldnotes. ,3852
09/08/2018,0,1032,0,maondo-with peel,7,429,2,fieldnotes. ,3003
10/08/2018,0,1124,0,ediki-with centre,1,963,55,fieldnotes. ,963
10/08/2018,0,2539,0,ediki-with centre,1,963,55,fieldnotes. ,963
10/08/2018,0,1016,0,ediki-with centre,1,963,55,fieldnotes. ,963
10/08/2018,0,1016,0,mobe,1,1380,1,average from all mobe returned to camp. ,1380
10/08/2018,0,1006,0,palm wine,1,1000,10,fieldnotes. We took same weight as water,1000
10/08/2018,0,3118,0,maondo-with peel,10,429,2,fieldnotes. ,4290
11/08/2018,0,1016,0,mobe,1,1380,1,average from all mobe returned to camp. ,1380
